domain,token,count
bible,na,4269
bible,and,3674
bible,sa,3240
bible,the,2454
bible,o,1969
bible,ni,1412
bible,of,1364
bible,ka,1057
bible,me,1026
bible,mai,959
bible,e,866
bible,i,826
bible,vei,802
bible,ena,780
bible,kei,686
bible,his,653
bible,he,652
bible,to,613
bible,unto,598
bible,in,596
bible,au,551
bible,that,521
bible,said,478
bible,ira,477
bible,tukuna,456
bible,oqo,434
bible,him,402
bible,tiko,390
bible,a,385
bible,koya,366
conversational,na,121
conversational,e,72
conversational,is,67
conversational,the,36
conversational,i,28
conversational,o,28
conversational,ni,27
conversational,my,20
conversational,au,17
conversational,are,16
conversational,dau,15
conversational,tiko,15
conversational,kei,14
conversational,and,13
conversational,name,12
conversational,sa,12
conversational,school,11
conversational,to,11
conversational,favourite,10
conversational,s,10
conversational,at,9
conversational,you,9
conversational,vinaka,9
conversational,a,8
conversational,not,8
conversational,yacai,8
conversational,taleitaki,8
conversational,home,7
conversational,for,7
conversational,am,7
definition,ni,28
definition,i,21
definition,vaka,19
definition,person,18
definition,tagane,16
definition,yalewa,15
definition,v,14
definition,brother,14
definition,a,13
definition,to,12
definition,of,12
definition,father's,12
definition,mother's,12
definition,sister,11
definition,levu,11
definition,n,10
definition,husband's,10
definition,wife's,10
definition,vale,10
definition,ga,9
definition,dua,9
definition,na,9
definition,taka,9
definition,sister's,8
definition,ta,8
definition,mai,8
definition,tau,8
definition,kau,8
definition,lailai,8
definition,nei,8
dictionary,na,231
dictionary,the,182
dictionary,ni,174
dictionary,of,122
dictionary,taka,101
dictionary,mata,81
dictionary,to,75
dictionary,is,70
dictionary,in,69
dictionary,vaka,67
dictionary,or,54
dictionary,be,50
dictionary,bati,47
dictionary,i,43
dictionary,as,37
dictionary,by,34
dictionary,used,33
dictionary,was,32
dictionary,for,32
dictionary,wa,31
dictionary,levu,30
dictionary,may,30
dictionary,with,30
dictionary,but,29
dictionary,are,28
dictionary,a,28
dictionary,that,26
dictionary,have,25
dictionary,very,24
dictionary,fijians,24
idiom,na,82
idiom,ni,26
idiom,e,22
idiom,sa,21
idiom,vaka,13
idiom,ga,12
idiom,kena,9
idiom,kana,8
idiom,dua,6
idiom,ka,6
idiom,tu,5
idiom,qai,5
idiom,ki,5
idiom,mai,5
idiom,beka,4
idiom,vale,4
idiom,mate,4
idiom,ucu,4
idiom,vatu,4
idiom,sega,4
idiom,nomu,4
idiom,koro,4
idiom,or,4
idiom,vata,3
idiom,dui,3
idiom,nona,3
idiom,bici,3
idiom,toa,3
idiom,me,3
idiom,koli,3
legal,na,2387
legal,ni,1612
legal,the,1508
legal,of,1117
legal,e,1064
legal,ena,771
legal,and,651
legal,me,558
legal,to,523
legal,or,493
legal,se,443
legal,a,439
legal,kei,388
legal,in,337
legal,dua,258
legal,any,231
legal,for,225
legal,by,214
legal,be,207
legal,ka,203
legal,parliament,193
legal,qo,180
legal,matabose,174
legal,lawa,173
legal,mai,171
legal,kena,170
legal,palimedi,166
legal,kina,163
legal,mataveilewai,157
legal,sega,155
medical,na,301
medical,ni,196
medical,e,145
medical,covid,66
medical,o,48
medical,you,46
medical,rawa,45
medical,dementia,44
medical,ivakatakilakila,40
medical,ena,37
medical,symptoms,35
medical,of,35
medical,kevaka,34
medical,and,33
medical,if,31
medical,have,31
medical,ka,31
medical,ira,31
medical,tauvi,30
medical,a,28
medical,tiko,26
medical,me,25
medical,era,25
medical,the,24
medical,are,24
medical,sega,24
medical,mate,23
medical,screening,22
medical,can,22
medical,clinic,20
