metric,pair,n,friedman_stat,friedman_p,wilcoxon_stat,wilcoxon_p,cohens_d_paired,cliffs_delta,cliffs_mag,wilcoxon_p_adj_holm,reject_holm
bleu_score,GPT-5 vs Gemini 1.5 Pro,6,6.152542372881368,0.10442001835891028,3.0,0.3125,0.40547321257240626,0.25,small,0.9375,False
bleu_score,GPT-5 vs Google Translate,6,6.152542372881368,0.10442001835891028,9.0,0.84375,-0.18926228898249878,-0.05555555555555555,negligible,1.0,False
bleu_score,GPT-5 vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,0.0,0.03125,1.2916553647521216,0.6111111111111112,large,0.1875,False
bleu_score,Gemini 1.5 Pro vs Google Translate,6,6.152542372881368,0.10442001835891028,7.0,0.5625,-0.37572288568726997,-0.2777777777777778,small,1.0,False
bleu_score,Gemini 1.5 Pro vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,3.0,0.15625,0.619777319414265,0.5,large,0.78125,False
bleu_score,Google Translate vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,3.0,0.15625,0.8315970204888866,0.5,large,0.78125,False
chrfpp_score,GPT-5 vs Gemini 1.5 Pro,6,3.6000000000000085,0.30802217155899186,9.0,0.84375,0.24099801102801632,0.05555555555555555,negligible,1.0,False
chrfpp_score,GPT-5 vs Google Translate,6,3.6000000000000085,0.30802217155899186,10.0,1.0,-0.18690709688665952,0.0,negligible,1.0,False
chrfpp_score,GPT-5 vs Microsoft Translator,6,3.6000000000000085,0.30802217155899186,4.0,0.21875,0.6103569863645742,0.2777777777777778,small,0.875,False
chrfpp_score,Gemini 1.5 Pro vs Google Translate,6,3.6000000000000085,0.30802217155899186,10.0,1.0,-0.26184186169685986,0.0,negligible,1.0,False
chrfpp_score,Gemini 1.5 Pro vs Microsoft Translator,6,3.6000000000000085,0.30802217155899186,2.0,0.09375,0.8272418477633569,0.2222222222222222,small,0.5625,False
chrfpp_score,Google Translate vs Microsoft Translator,6,3.6000000000000085,0.30802217155899186,2.0,0.09375,0.6147806523992724,0.3888888888888889,medium,0.5625,False
ter_score,GPT-5 vs Gemini 1.5 Pro,6,6.444444444444457,0.09187941564557998,1.0,0.5,-0.42375628369132956,-0.08333333333333333,negligible,1.0,False
ter_score,GPT-5 vs Google Translate,6,6.444444444444457,0.09187941564557998,2.0,0.1875,-0.6457348440741976,-0.1388888888888889,negligible,0.9375,False
ter_score,GPT-5 vs Microsoft Translator,6,6.444444444444457,0.09187941564557998,0.0,0.03125,-3.3061750931972216,-0.3888888888888889,medium,0.1875,False
ter_score,Gemini 1.5 Pro vs Google Translate,6,6.444444444444457,0.09187941564557998,7.0,1.0,0.16425688312564918,-0.16666666666666666,small,1.0,False
ter_score,Gemini 1.5 Pro vs Microsoft Translator,6,6.444444444444457,0.09187941564557998,6.0,0.4375,0.04787808000046029,-0.4444444444444444,medium,1.0,False
ter_score,Google Translate vs Microsoft Translator,6,6.444444444444457,0.09187941564557998,9.0,0.8125,-0.14198658836140332,-0.16666666666666666,small,1.0,False
sent_bleu_nltk,GPT-5 vs Gemini 1.5 Pro,6,6.152542372881368,0.10442001835891028,3.0,0.3125,0.4054732125724063,0.25,small,0.9375,False
sent_bleu_nltk,GPT-5 vs Google Translate,6,6.152542372881368,0.10442001835891028,9.0,0.84375,-0.18926228898249872,-0.05555555555555555,negligible,1.0,False
sent_bleu_nltk,GPT-5 vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,0.0,0.03125,1.2916553647521218,0.6111111111111112,large,0.1875,False
sent_bleu_nltk,Gemini 1.5 Pro vs Google Translate,6,6.152542372881368,0.10442001835891028,7.0,0.5625,-0.3757228856872699,-0.2777777777777778,small,1.0,False
sent_bleu_nltk,Gemini 1.5 Pro vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,3.0,0.15625,0.619777319414265,0.5,large,0.78125,False
sent_bleu_nltk,Google Translate vs Microsoft Translator,6,6.152542372881368,0.10442001835891028,3.0,0.15625,0.8315970204888866,0.5,large,0.78125,False
adequacy,GPT-5 vs Gemini 1.5 Pro,6,8.076923076923077,0.0444484027947512,0.0,1.0,-0.408248290463863,-0.1111111111111111,negligible,1.0,False
adequacy,GPT-5 vs Google Translate,6,8.076923076923077,0.0444484027947512,0.0,1.0,0.408248290463863,0.08333333333333333,negligible,1.0,False
adequacy,GPT-5 vs Microsoft Translator,6,8.076923076923077,0.0444484027947512,0.0,0.25,0.847579379526013,0.5277777777777778,large,1.0,False
adequacy,Gemini 1.5 Pro vs Google Translate,6,8.076923076923077,0.0444484027947512,0.0,0.5,0.5976143046671968,0.16666666666666666,small,1.0,False
adequacy,Gemini 1.5 Pro vs Microsoft Translator,6,8.076923076923077,0.0444484027947512,0.0,0.125,0.9991745768300443,0.5555555555555556,large,0.75,False
adequacy,Google Translate vs Microsoft Translator,6,8.076923076923077,0.0444484027947512,0.0,0.5,0.6454972243679027,0.4722222222222222,medium,1.0,False
fluency,GPT-5 vs Gemini 1.5 Pro,6,5.999999999999999,0.11161022509471256,0.0,1.0,-0.408248290463863,-0.1111111111111111,negligible,1.0,False
fluency,GPT-5 vs Google Translate,6,5.999999999999999,0.11161022509471256,0.0,1.0,0.408248290463863,0.08333333333333333,negligible,1.0,False
fluency,GPT-5 vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,0.5,0.5504818825631802,0.2777777777777778,small,1.0,False
fluency,Gemini 1.5 Pro vs Google Translate,6,5.999999999999999,0.11161022509471256,0.0,0.5,0.6454972243679027,0.16666666666666666,small,1.0,False
fluency,Gemini 1.5 Pro vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,0.25,0.7128324356402512,0.3333333333333333,medium,1.0,False
fluency,Google Translate vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,1.0,0.4082482904638631,0.19444444444444445,small,1.0,False
cohesion,GPT-5 vs Gemini 1.5 Pro,6,5.999999999999999,0.11161022509471256,0.0,1.0,-0.408248290463863,-0.1111111111111111,negligible,1.0,False
cohesion,GPT-5 vs Google Translate,6,5.999999999999999,0.11161022509471256,0.0,1.0,0.408248290463863,0.08333333333333333,negligible,1.0,False
cohesion,GPT-5 vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,0.5,0.5504818825631802,0.2777777777777778,small,1.0,False
cohesion,Gemini 1.5 Pro vs Google Translate,6,5.999999999999999,0.11161022509471256,0.0,0.5,0.6454972243679027,0.16666666666666666,small,1.0,False
cohesion,Gemini 1.5 Pro vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,0.25,0.7128324356402512,0.3333333333333333,medium,1.0,False
cohesion,Google Translate vs Microsoft Translator,6,5.999999999999999,0.11161022509471256,0.0,1.0,0.4082482904638631,0.19444444444444445,small,1.0,False
